Divipola,Nombre,Indicativo
15681,San Pablo de Borbur,608
15686,Santana,608
15690,Santa María,608
15693,Santa Rosa de Viterbo,608
15696,Santa Sofía,608
15720,Sativanorte,608
15723,Sativasur,608
15740,Siachoque,608
15753,Soatá,608
15755,Socotá,608
15757,Socha,608
15759,Sogamoso,608
15761,Somondoco,608
15762,Sora,608
15763,Sotaquirá,608
15764,Soracá,608
15774,Susacón,608
15776,Sutamarchán,608
15778,Sutatenza,608
15790,Tasco,608
15798,Tenza,608
15804,Tibaná,608
15806,Tibasosa,608
15808,Tinjacá,608
15810,Tipacoque,608
15814,Toca,608
15816,Togüí,608
15820,Tópaga,608
15822,Tota,608
15832,Tununguá,608
15835,Turmequé,608
15837,Tuta,608
15839,Tutazá,608
15842,Umbita,608
15861,Ventaquemada,608
15879,Viracachá,608
15897,Zetaquira,608
17001,Manizales,606
17013,Aguadas,606
17042,Anserma,606
17050,Aranzazu,606
17088,Belalcázar,606
17174,Chinchiná,606
17272,Filadelfia,606
17380,La Dorada,606
17388,La Merced,606
17433,Manzanares,606
17442,Marmato,606
17444,Marquetalia,606
17446,Marulanda,606
17486,Neira,606
17495,Norcasia,606
17513,Pácora,606
17524,Palestina,606
17541,Pensilvania,606
17614,Riosucio,606
17616,Risaralda(3),606
17653,Salamina,606
17662,Samaná,606
17665,San José,606
17777,Supía,606
17867,Victoria,606
17873,Villamaría,606
17877,Viterbo,606
18001,Florencia,608
18029,Albania,608
18094,Belén de Los Andaquies,608
18150,Cartagena del Chairá,608
18205,Curillo,608
18247,El Doncello,608
18256,El Paujil,608
18410,La Montañita,608
18460,Milán,608
18479,Morelia,608
18592,Puerto Rico,608
18610,San José del Fragua,608
18753,San Vicente del Caguán,608
18756,Solano,608
18785,Solita,608
18860,Valparaíso(3),608
19001,Popayán,602
19022,Almaguer,602
19050,Argelia,602
19075,Balboa,602
19100,Bolívar,602
19110,Buenos Aires,602
19130,Cajibío,602
19137,Caldono,602
19142,Caloto,602
19212,Corinto,602
19256,El Tambo,602
19290,Florencia,602
19300,Guachené,602
19318,Guapi,602
19355,Inzá,602
19364,Jambaló,602
19392,La Sierra,602
19397,La Vega,602
19418,López,602
19450,Mercaderes,602
19455,Miranda,602
19473,Morales,602
19513,Padilla,602
19517,Paez,602
19532,Patía,602
19533,Piamonte,602
19548,Piendamó,602
19573,Puerto Tejada,602
19585,Puracé,602
19622,Rosas,602
19693,San Sebastián,602
19698,Santander de Quilichao,602
19701,Santa Rosa,602
19743,Silvia,602
19760,Sotara,602
19780,Suárez,602
19785,Sucre,602
19807,Timbío,602
19809,Timbiquí,602
19821,Toribio,602
19824,Totoró,602
19845,Villa Rica,602
20001,Valledupar,605
20011,Aguachica,605
20013,Agustín Codazzi,605
20032,Astrea,605
20045,Becerril,605
20060,Bosconia,605
20175,Chimichagua,605
20178,Chiriguaná,605
20228,Curumaní,605
20238,El Copey,605
20250,El Paso,605
